company,overall,work-balance,culture,career,benefit,senior-mangemnet
google,4.378479657,4.004104211,4.359207709,4.030692363,4.427551749,3.871877231
amazon,3.60562551,3.01087055,3.532204004,3.621161337,3.710752786,3.171754688
facebook,4.518080668,3.90472879,4.515299026,4.365090403,4.573018081,4.26077886
netflix,3.496957404,3.215010142,3.519269777,3.160243408,4.259634888,3.196754564
apple,3.958914804,3.338050161,4.097882307,3.419342247,4.058944081,3.446960086
microsoft,3.859934122,3.575086091,3.657358886,3.710211109,4.025452912,3.185431951
